Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,ATP Rank,Log diff
345,Facundo Mena,32.5,1427.7,,369,1347.3,298,1413.8,339,1400.9,,1616.9,2019-09,,221.0,0.45
346,Goncalo Oliveira,29.8,1424.7,,338,1376.7,324,1393.5,395,1373.8,,1441.2,2024-11,,287.0,0.19
347,Matias Soto,25.9,1424.4,,371,1345.3,309,1403.8,320,1412.2,,1461.2,2025-03,,242.0,0.36
348,Mathias Bourgue,30.7,1424.3,,293,1416.1,320,1394.9,364,1389.3,,1674.2,2017-04,,515.0,-0.39
349,Sascha Gueymard Wayenburg,21.7,1422.9,,295,1414.3,430,1290.0,321,1411.5,,1563.9,2025-01,,251.0,0.33
350,Samuel Vincent Ruggeri,22.6,1421.8,,354,1365.0,336,1386.6,323,1410.9,,1525.8,2024-06,,442.0,-0.23
351,Henry Searle,18.9,1419.9,,320,1396.8,399,1328.1,365,1389.1,,1448.8,2025-03,,411.0,-0.16
352,Yan Bai,35.6,1419.0,,330,1383.7,357,1366.1,375,1384.3,,1494.4,2015-11,,248.0,0.35
353,Frederico Ferreira Silva,29.8,1418.1,,333,1382.3,326,1391.2,290,1431.3,,1642.4,2021-05,,256.0,0.32
354,Matej Dodig,19.7,1417.9,,365,1352.5,311,1402.1,324,1408.9,,1601.7,2024-09,,342.0,0.03
355,Daniel Masur,30.4,1417.3,,332,1382.7,315,1398.9,335,1404.2,,1621.9,2021-03,,446.0,-0.23
356,Remy Bertola,26.6,1416.9,,352,1367.2,370,1354.1,325,1408.4,,1461.8,2022-10,,297.0,0.18
357,Patrick Maloney,25.1,1413.1,,399,1324.8,354,1368.2,327,1406.5,,1439.4,2025-04,,337.0,0.06
358,Alfredo Perez,27.9,1412.7,,418,1309.3,313,1399.5,329,1406.4,,1425.5,2025-04,,400.0,-0.11
359,Alex Martinez,24.0,1411.9,,322,1396.1,412,1311.2,330,1406.0,,1501.5,2024-07,,538.0,-0.4
360,Rudolf Molleker,24.4,1411.9,,368,1349.3,303,1409.2,389,1375.2,,1712.9,2019-06,,375.0,-0.04
361,David Jorda Sanchis,30.2,1410.9,,384,1338.4,327,1389.4,410,1366.6,,1531.3,2023-07,,537.0,-0.4
362,Mats Rosenkranz,26.6,1409.9,,324,1389.9,434,1283.6,386,1376.6,,1477.6,2024-11,,363.0,0.0
363,Antoine Cornut Chauvinc,24.7,1409.1,,329,1384.0,393,1332.8,332,1404.5,,1453.0,2025-01,,548.0,-0.41
364,Gerard Campana Lee,20.5,1408.8,,366,1352.4,355,1367.1,333,1404.4,,1510.2,2023-07,,383.0,-0.05
365,Jonas Forejtek,23.8,1406.3,,379,1340.6,314,1399.4,374,1386.1,,1614.5,2022-05,,660.0,-0.59
366,Andre Ilagan,24.4,1405.5,,339,1376.4,410,1312.8,337,1402.8,,1472.7,2025-02,,380.0,-0.04
367,Rodrigo Pacheco Mendez,19.9,1405.5,,364,1353.5,349,1370.1,336,1402.8,,1461.5,2024-06,,230.0,0.47
368,Karue Sell,31.3,1404.9,,323,1394.6,347,1372.3,338,1402.4,,1529.3,2024-10,,299.0,0.21
369,Jelle Sels,29.6,1403.5,,302,1408.5,365,1357.0,481,1305.6,,1640.8,2022-11,,329.0,0.11
370,Paul Jubb,25.4,1400.7,,345,1372.0,390,1333.8,256,1445.8,,1632.1,2022-03,,265.0,0.33
371,Max Wiskandt,23.2,1400.7,,409,1320.9,342,1377.4,342,1400.3,,1454.0,2025-04,,377.0,-0.02
372,Benoit Paire,35.9,1399.7,,351,1368.9,281,1429.2,292,1430.9,,1909.0,2013-05,,556.0,-0.4
373,Corentin Denolly,27.8,1398.8,,403,1323.9,381,1338.5,344,1399.4,,1455.6,2025-03,,284.0,0.27
374,Jack Pinnington Jones,21.9,1397.2,,358,1362.1,414,1308.6,307,1420.0,,1521.7,2024-06,,338.0,0.1
375,Mathys Erhard,23.4,1396.5,,421,1305.3,356,1366.5,345,1398.3,,1428.9,2025-04,,268.0,0.34
376,Philip Henning,24.4,1396.3,,336,1381.3,366,1355.7,250,1448.2,,1559.8,2021-09,,361.0,0.04
377,Mili Poljicak,20.7,1395.9,,446,1259.1,301,1409.4,418,1362.1,,1427.9,2025-04,,270.0,0.33
378,Lorenzo Giustino,33.6,1395.6,,386,1337.9,337,1383.1,483,1303.6,,1643.8,2019-06,,302.0,0.22
379,Marko Topo,21.5,1394.6,,335,1381.4,341,1378.4,328,1406.5,,1663.9,2022-04,,402.0,-0.06
380,Jay Clarke,26.5,1393.2,,360,1360.3,383,1336.9,455,1339.1,,1617.4,2018-07,,233.0,0.49
381,Alvaro Guillen Meza,22.2,1392.4,,461,1236.7,316,1398.5,350,1396.2,,1545.7,2023-11,,216.0,0.57
382,Jakub Paul,26.0,1389.3,,353,1365.6,448,1270.4,353,1394.7,,1440.9,2025-03,,326.0,0.16
383,Maximilian Neuchrist,33.7,1388.6,,387,1337.4,345,1375.0,415,1363.8,,1549.9,2023-04,,431.0,-0.12
384,Ernesto Escobedo,28.5,1385.6,,349,1370.5,378,1342.2,464,1330.4,,1762.7,2017-04,,481.0,-0.23
385,Nicolas Alvarez Varona,23.9,1385.2,,317,1397.9,407,1315.8,357,1392.6,,1526.2,2022-11,,314.0,0.2
386,Adolfo Daniel Vallejo,20.9,1384.8,,388,1334.7,343,1376.5,264,1442.4,,1524.2,2020-03,,234.0,0.5
387,Orlando Luz,27.0,1384.2,,475,1213.8,338,1382.9,359,1392.1,,1519.9,2021-08,,638.0,-0.5
388,Thai Son Kwiatkowski,29.5,1382.2,,341,1375.2,373,1349.0,490,1281.9,,1644.0,2020-03,,1046.0,-0.99
389,Raul Brancaccio,27.8,1381.5,,361,1357.1,358,1366.0,424,1360.3,,1644.9,2023-01,,390.0,0.0
390,Gabi Adrian Boitan,25.7,1380.4,,404,1323.7,329,1389.2,268,1440.2,,1488.6,2022-03,,368.0,0.06
391,Nikolas Sanchez Izquierdo,26.1,1380.1,,456,1245.8,351,1369.4,362,1390.1,,1517.8,2022-06,,293.0,0.29
392,Aidan Mayo,21.9,1378.1,,331,1383.7,436,1278.7,334,1404.3,,1541.1,2024-11,,312.0,0.23
393,Giles Hussey,27.9,1377.0,,381,1339.7,422,1298.5,427,1360.1,,1422.5,2025-04,,453.0,-0.14
394,Oliver Crawford,25.9,1376.8,,383,1339.2,374,1346.8,401,1369.6,,1580.7,2023-10,,280.0,0.34
395,Lautaro Midon,21.0,1376.6,,431,1290.8,348,1370.2,367,1388.3,,1397.4,2025-04,,316.0,0.22
396,Moez Echargui,32.2,1376.3,,374,1343.4,371,1351.2,368,1388.1,,1478.4,2023-08,,476.0,-0.18
397,Govind Nanda,24.1,1375.2,,367,1352.1,419,1302.2,370,1387.6,,1501.0,2022-09,,372.0,0.07
398,Juan Bautista Torres,23.0,1375.2,,433,1289.7,359,1364.7,369,1387.6,,1586.6,2022-07,,273.0,0.38
399,Mohamed Safwat,34.3,1373.6,,356,1362.8,364,1357.5,351,1395.8,,1640.1,2020-02,,589.0,-0.39
400,Michael Vrbensky,25.1,1372.9,,405,1323.6,372,1350.8,373,1386.5,,1576.5,2021-07,,412.0,-0.03
