Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
56,Roberto Bautista Agut,9,66.7,64.7,64.8,3.7,2.3,7.3,69.3,68.0,57.1,61.7,83.5,6.3,36.9,40.4,15.1,4.4,25.1,54.9,6.4,83.0,87.0,39.2,74,0.56,2.6,8.2,1.04,3.2,65.1,0.47,2.3,7.0,0.79,2.4,50.7,75.0,60.7
57,Jacob Fearnley,3,33.3,70.2,71.1,7.7,4.3,11.5,62.2,77.4,58.4,66.0,89.8,6.1,29.7,30.8,7.8,1.9,22.3,46.0,6.4,139.0,109.7,23.5,17,0.34,1.9,5.7,0.44,1.3,54.5,0.22,1.2,3.7,0.56,1.7,49.3,50.0,44.4
59,Roberto Carballes Baena,3,33.3,63.1,61.7,6.8,2.0,4.4,54.6,67.6,57.5,60.2,74.4,6.4,27.9,29.7,11.9,2.5,20.5,45.2,6.1,40.0,280.0,15.4,13,0.33,1.6,4.3,0.25,0.7,58.3,0.62,3.0,8.0,1.25,3.3,45.6,100.0,25.0
61,Fabian Marozsan,5,20.0,63.8,60.9,10.7,2.2,5.8,61.7,71.0,52.0,55.3,76.4,6.2,30.5,33.6,18.8,4.9,19.8,49.4,6.1,41.0,58.8,33.3,21,0.28,1.4,4.2,0.47,1.4,60.5,0.6,2.9,8.6,1.13,3.4,47.1,100.0,33.3
62,Kei Nishikori,1,0.0,61.1,61.8,2.9,2.9,9.8,70.9,61.3,60.8,67.4,76.0,7.0,27.9,35.2,23.6,1.4,24.7,34.9,5.4,76.0,76.0,37.5,8,0.31,1.6,8.0,0.6,3.0,70.0,0.8,4.0,20.0,1.2,6.0,46.3,100.0,40.0
63,Francisco Comesana,3,66.7,65.9,63.9,9.8,2.4,6.6,63.9,71.8,55.4,59.4,86.4,7.0,33.1,33.0,4.3,2.3,28.0,42.6,6.6,25.0,44.0,40.0,20,0.3,1.5,6.7,0.62,2.7,74.3,0.53,2.7,11.7,0.69,3.0,49.8,60.0,53.8
64,Laslo Djere,2,0.0,58.7,57.7,7.1,3.6,8.7,59.1,63.2,52.2,57.1,68.6,6.4,34.9,37.1,9.9,2.4,26.9,47.6,5.7,153.0,153.0,38.1,21,0.57,2.6,10.5,1.0,4.0,59.3,0.77,3.4,13.5,1.38,5.5,47.1,0.0,37.5
65,Joao Fonseca,1,0.0,58.8,52.2,16.5,2.4,5.9,60.0,68.6,44.1,46.9,80.0,8.5,27.9,29.4,13.1,3.3,28.6,26.9,6.1,88.0,88.0,0.0,2,0.2,1.0,2.0,0.0,0.0,83.3,1.2,6.0,12.0,1.0,2.0,45.9,-,0.0
66,Jaume Munar,3,33.3,63.4,64.9,7.9,6.6,16.5,60.3,76.0,44.3,53.1,75.5,5.9,36.8,39.2,10.1,2.5,27.5,51.2,6.6,54.0,59.7,27.3,33,0.69,3.3,11.0,0.9,3.0,55.6,0.55,2.7,9.0,1.2,4.0,49.5,0.0,40.0
67,Juncheng Shang,5,60.0,70.1,68.8,10.8,3.0,8.4,64.7,76.2,58.9,64.4,91.8,6.3,27.0,28.6,15.1,3.7,16.0,48.2,5.7,31.0,49.6,33.3,24,0.28,1.5,4.8,0.5,1.6,76.7,0.35,1.9,6.0,0.44,1.4,49.8,50.0,56.3
68,Mattia Bellucci,1,0.0,68.0,68.5,7.5,4.1,8.5,51.7,78.9,56.3,61.5,87.0,6.4,31.5,33.6,12.8,3.4,25.9,46.3,6.2,14.0,14.0,14.3,14,0.58,2.8,14.0,0.4,2.0,75.0,0.52,2.4,12.0,0.6,3.0,49.7,-,40.0
71,Daniel Altmaier,2,50.0,65.2,65.5,6.2,3.8,8.7,56.2,79.8,46.5,50.9,76.6,6.2,37.7,35.2,4.7,6.3,31.8,46.8,6.6,184.0,184.0,41.4,29,0.6,2.9,14.5,1.2,6.0,52.2,0.49,2.3,11.5,1.1,5.5,50.8,66.7,50.0
72,Hamad Medjedovic,2,50.0,68.9,64.9,24.2,6.8,23.9,71.4,79.1,43.5,57.1,91.7,6.7,31.4,33.3,17.3,5.8,20.4,50.0,6.5,29.5,29.5,42.9,7,0.29,1.4,3.5,0.6,1.5,84.6,0.54,2.6,6.5,0.4,1.0,50.5,0.0,40.0
74,Yoshihito Nishioka,5,60.0,67.1,67.2,3.5,1.9,5.3,64.7,70.0,61.6,65.0,84.3,6.1,33.9,36.8,16.5,5.1,23.7,50.0,6.4,58.0,76.2,38.2,34,0.48,2.3,6.8,0.87,2.6,65.6,0.46,2.1,6.4,0.73,2.2,50.0,33.3,53.3
75,Arthur Rinderknech,7,42.9,66.7,64.0,17.0,5.3,14.4,62.9,79.0,45.8,53.5,83.7,6.1,33.0,33.7,8.3,3.1,30.7,36.8,5.9,61.0,115.0,40.5,42,0.41,2.1,6.0,0.85,2.4,63.8,0.45,2.4,6.7,0.85,2.4,50.2,33.3,45.0
76,Alexander Bublik,8,50.0,69.1,65.3,22.6,6.2,16.9,63.1,82.5,46.0,55.3,86.4,5.8,34.5,35.0,9.8,4.6,25.0,49.6,6.6,79.5,72.0,25.0,60,0.55,2.6,7.5,0.65,1.9,60.5,0.35,1.7,4.8,0.65,1.9,50.8,60.0,52.2
77,Roman Safiullin,5,40.0,68.7,67.9,7.8,2.6,7.4,65.4,77.6,51.7,55.9,84.0,5.9,35.6,37.6,9.7,2.6,28.9,47.5,6.5,39.0,48.6,35.2,54,0.53,2.7,10.8,0.95,3.8,63.6,0.44,2.2,8.8,0.8,3.2,51.1,0.0,50.0
78,Hugo Gaston,1,0.0,55.0,55.2,1.8,1.8,4.3,56.9,62.9,44.7,46.7,64.7,6.4,39.6,41.3,5.4,0.9,37.8,44.8,6.5,102.0,102.0,41.7,12,0.71,4.0,12.0,1.67,5.0,40.0,0.59,3.3,10.0,2.0,6.0,47.3,0.0,0.0
79,Aleksandar Vukic,12,66.7,67.4,64.8,10.9,1.9,5.0,62.1,76.1,53.1,55.9,87.0,6.5,33.1,34.2,11.8,4.6,21.9,50.9,6.2,45.0,89.7,39.0,77,0.48,2.4,6.4,0.94,2.5,72.0,0.46,2.3,6.3,0.66,1.8,50.7,45.5,59.4
