Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Canada R64,W vsBublik,45% (5/11),80% (4/5),2/2,20% (2/10),0% (0/2),2/3,0/0,0/0,0/0,0/0
2023 Washington R32,L vsMmoh,19% (3/16),33% (1/3),0/2,41% (7/17),57% (4/7),1/1,0/0,2/3,0/0,2/2
2023 Wimbledon R16,L vsDjokovic,4% (1/23),100% (1/1),0/1,13% (3/23),67% (2/3),0/0,0/0,3/3,0/0,1/1
2023 Wimbledon R32,W vsMusetti,19% (3/16),67% (2/3),0/0,13% (2/16),100% (2/2),2/2,2/2,0/0,1/1,0/0
2023 Wimbledon R64,W vsChoinski,38% (6/16),33% (2/6),0/0,6% (1/16),100% (1/1),2/2,2/2,2/2,0/0,0/0
2023 Wimbledon R128,W vsRamos,46% (6/13),67% (4/6),0/0,14% (2/14),100% (2/2),4/4,3/3,0/0,1/1,0/0
2023 Halle R16,L vsGriekspoor,14% (2/14),100% (2/2),0/1,21% (3/14),67% (2/3),2/2,1/1,2/2,0/0,2/2
2023 Halle R32,W vsEubanks,13% (2/15),100% (2/2),0/0,0% (0/16),- (0/0),2/2,2/2,2/2,1/1,0/0
2023 Stuttgart SF,L vsStruff,8% (1/13),100% (1/1),0/2,21% (3/14),0% (0/3),1/1,1/1,1/2,0/0,0/1
2023 Stuttgart QF,W vsOconnell,40% (4/10),50% (2/4),0/0,0% (0/10),- (0/0),0/0,0/0,0/0,0/0,0/0
2023 Stuttgart R16,W vsWatanuki,29% (5/17),0% (0/5),0/1,12% (2/17),50% (1/2),0/0,0/0,2/2,0/0,2/2
2023 Roland Garros R32,L vsVarillas,17% (4/24),75% (3/4),0/3,25% (6/24),33% (2/6),3/3,2/2,0/1,0/0,0/1
2023 Roland Garros R64,W vsGriekspoor,30% (8/27),50% (4/8),0/2,21% (6/28),50% (3/6),3/4,2/2,4/5,1/1,1/1
2023 Roland Garros R128,W vsGoffin,33% (8/24),75% (6/8),1/4,32% (8/25),25% (2/8),6/6,3/3,1/3,1/1,0/0
2023 Rome R64,L vsWolf,0% (0/10),- (0/0),0/2,22% (2/9),0% (0/2),0/0,0/0,1/1,0/0,1/1
2023 Madrid R32,L vsCoric,18% (2/11),0% (0/2),0/1,20% (2/10),50% (1/2),0/0,0/0,0/0,0/0,0/0
2023 Madrid R64,W vsGasquet,29% (5/17),60% (3/5),0/1,18% (3/17),67% (2/3),3/3,2/2,2/2,1/1,2/2
2023 Monte Carlo R16,L vsSinner,23% (3/13),67% (2/3),0/3,53% (8/15),50% (4/8),1/2,1/1,2/3,0/0,0/1
2023 Monte Carlo R32,W vsDraper,44% (7/16),71% (5/7),0/3,24% (4/17),25% (1/4),3/4,1/2,2/2,0/0,0/0
2023 Monte Carlo R64,W vsDjere,50% (9/18),44% (4/9),0/4,28% (5/18),20% (1/5),4/4,0/1,4/4,0/1,2/2
2023 Estoril R16,L vsZapata Miralles,33% (5/15),20% (1/5),1/4,33% (5/15),20% (1/5),1/1,0/0,4/4,0/0,1/1
2023 Miami R32,L vsMannarino,25% (3/12),33% (1/3),0/1,25% (3/12),67% (2/3),1/1,0/0,2/2,0/0,2/2
2023 Miami R64,W vsKokkinakis,28% (5/18),20% (1/5),0/1,6% (1/18),0% (0/1),1/1,0/1,1/1,0/0,1/1
