Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2020 Paris SF,W vsNadal,45% (5/11),60% (3/5),0/1,18% (2/11),50% (1/2),3/3,2/2,1/1,1/1,0/0
2020 Cologne 2 F,W vsSchwartzman,75% (6/8),83% (5/6),0/0,14% (1/7),100% (1/1),4/4,1/1,0/0,0/0,0/0
2020 Cologne 1 F,W vsAuger Aliassime,56% (5/9),80% (4/5),1/1,22% (2/9),50% (1/2),2/3,1/2,0/0,1/1,0/0
2020 Roland Garros R16,L vsSinner,26% (5/19),40% (2/5),0/4,28% (5/18),0% (0/5),2/2,1/1,2/3,0/0,1/1
2020 Roland Garros R32,W vsCecchinato,64% (9/14),67% (6/9),0/1,14% (2/14),50% (1/2),4/4,1/1,1/1,1/1,0/0
2020 Roland Garros R64,W vsHerbert,36% (9/25),67% (6/9),2/6,44% (11/25),36% (4/11),4/5,1/2,3/4,0/1,0/0
2020 Roland Garros R128,W vsNovak,53% (8/15),63% (5/8),0/1,13% (2/15),50% (1/2),5/5,3/3,2/2,1/1,0/0
2020 US Open F,L vsThiem,40% (10/25),80% (8/10),2/6,33% (8/24),13% (1/8),5/7,2/4,0/1,0/1,0/0
2020 US Open SF,W vsCarreno Busta,48% (11/23),73% (8/11),3/7,32% (7/22),0% (0/7),5/7,2/2,2/2,0/0,0/0
2020 US Open QF,W vsCoric,25% (5/20),60% (3/5),0/4,30% (6/20),33% (2/6),2/3,1/1,2/2,1/1,0/0
2020 US Open R16,W vsDavidovich Fokina,75% (9/12),89% (8/9),1/1,36% (4/11),75% (3/4),7/7,2/2,0/0,0/0,0/0
2020 US Open R32,W vsMannarino,37% (7/19),100% (7/7),2/2,21% (4/19),50% (2/4),4/4,0/0,2/2,0/0,0/0
2020 US Open R64,W vsNakashima,30% (6/20),83% (5/6),0/0,10% (2/20),100% (2/2),4/4,2/2,3/3,0/0,0/0
2020 US Open R128,W vsAnderson,18% (4/22),75% (3/4),0/2,17% (4/23),50% (2/4),3/3,2/3,2/2,1/1,0/0
2020 Acapulco R16,L vsPaul,10% (1/10),0% (0/1),0/2,44% (4/9),50% (2/4),0/0,0/0,1/1,0/0,0/0
2020 Australian Open SF,L vsThiem,36% (8/22),63% (5/8),0/4,24% (5/21),20% (1/5),2/4,0/0,3/3,0/0,2/2
2020 Australian Open QF,W vsWawrinka,47% (8/17),63% (5/8),0/3,18% (3/17),0% (0/3),4/5,3/3,1/1,1/1,0/0
2020 Australian Open R16,W vsRublev,33% (5/15),60% (3/5),0/0,0% (0/15),- (0/0),3/3,3/3,0/0,1/1,0/0
2020 Australian Open R32,W vsVerdasco,54% (7/13),86% (6/7),1/1,23% (3/13),67% (2/3),6/6,3/3,0/0,1/1,0/0
2020 Australian Open R64,W vsGerasimov,47% (8/17),38% (3/8),0/1,12% (2/17),50% (1/2),1/1,0/1,2/2,0/1,0/0
2020 Australian Open R128,W vsCecchinato,47% (7/15),71% (5/7),3/3,31% (5/16),40% (2/5),5/5,2/2,2/2,1/1,0/0
2020 Atp Cup RR,L vsTsitsipas,11% (1/9),100% (1/1),0/4,63% (5/8),20% (1/5),0/1,0/0,1/1,0/0,1/1
2020 Atp Cup RR,L vsShapovalov,13% (1/8),0% (0/1),0/4,50% (4/8),0% (0/4),0/0,0/0,1/1,0/0,1/1
2020 Atp Cup RR,L vsDe Minaur,40% (6/15),50% (3/6),0/4,40% (6/15),33% (2/6),2/3,1/2,3/3,0/0,1/1
2019 Tour Finals SF,L vsThiem,27% (3/11),0% (0/3),0/1,20% (2/10),0% (0/2),0/0,0/0,2/3,0/0,1/1
2019 Tour Finals RR,L vsTsitsipas,11% (1/9),0% (0/1),0/3,38% (3/8),0% (0/3),0/0,0/0,1/1,0/0,1/1
2019 Tour Finals RR,W vsMedvedev,18% (2/11),50% (1/2),0/0,0% (0/11),- (0/0),1/1,1/1,2/2,0/0,0/0
2019 Tour Finals RR,W vsNadal,44% (4/9),75% (3/4),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2019 Paris R16,L vsShapovalov,36% (5/14),40% (2/5),0/5,43% (6/14),17% (1/6),0/1,0/0,1/1,0/0,0/0
2019 Basel R32,L vsFritz,18% (2/11),0% (0/2),0/1,18% (2/11),50% (1/2),0/0,0/0,3/3,0/0,1/1
2019 Shanghai F,L vsMedvedev,22% (2/9),50% (1/2),0/3,50% (4/8),0% (0/4),1/1,0/0,1/2,0/0,1/1
2019 Shanghai SF,W vsBerrettini,22% (2/9),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2019 Shanghai QF,W vsFederer,43% (6/14),67% (4/6),1/1,13% (2/16),0% (0/2),3/4,2/3,1/1,1/2,0/0
2019 Shanghai R16,W vsRublev,56% (5/9),100% (5/5),1/2,44% (4/9),50% (2/4),4/4,0/1,0/0,0/1,0/0
2019 Shanghai R32,W vsChardy,17% (2/12),100% (2/2),0/2,17% (2/12),0% (0/2),2/2,0/0,3/3,0/0,0/0
2019 Beijing SF,L vsTsitsipas,36% (4/11),75% (3/4),1/4,45% (5/11),20% (1/5),3/3,0/0,4/4,0/0,2/2
2019 Beijing QF,W vsQuerrey,30% (3/10),67% (2/3),0/0,10% (1/10),100% (1/1),1/1,0/0,2/2,0/0,0/0
2019 Beijing R16,W vsAuger Aliassime,75% (6/8),67% (4/6),0/0,0% (0/8),- (0/0),3/3,1/1,0/0,1/1,0/0
2019 US Open R16,L vsSchwartzman,39% (7/18),71% (5/7),2/6,56% (10/18),20% (2/10),4/5,1/1,1/3,0/0,1/1
2019 US Open R32,W vsBedene,27% (6/22),50% (3/6),0/2,22% (5/23),60% (3/5),2/3,1/2,4/4,0/0,0/0
2019 US Open R64,W vsTiafoe,29% (6/21),67% (4/6),0/3,27% (6/22),50% (3/6),3/3,2/2,1/1,1/1,0/0
2019 US Open R128,W vsAlbot,59% (13/22),69% (9/13),0/5,29% (6/21),17% (1/6),6/7,1/1,1/1,0/0,0/0
2019 Cincinnati R32,L vsKecmanovic,27% (4/15),75% (3/4),2/6,40% (6/15),0% (0/6),1/3,0/1,2/2,0/0,1/1
2019 Canada QF,L vsKhachanov,11% (1/9),0% (0/1),0/2,33% (3/9),0% (0/3),0/0,0/0,1/2,0/0,1/1
